Season,Conference,Finish,Division,Finish,Wins,Losses,Win%,GB,Playoffs,Awards,Ref.
1946–47,—,—,Eastern,5th,22,38,.367,27,—,—,[3]
1947–48,—,—,Eastern,3rd,20,28,.417,7,Lost First Round (Stags) 2–1,—,[4]
1948–49,—,—,Eastern,5th,25,35,.417,13,—,—,[5]
1949–50,—,—,Eastern,6th,22,46,.324,31,—,—,[6]
1950–51,—,—,Eastern,2nd,39,30,.565,2.5,Lost Division Semifinals (Knicks) 2–0,Ed Macauley (ASG MVP),[7]
1951–52,—,—,Eastern,2nd,39,27,.591,1,Lost Division Semifinals (Knicks) 2–1,—,[8]
1952–53,—,—,Eastern,3rd,46,25,.648,1.5,Won Division Semifinals (Nationals) 2–0Lost Division Finals (Knicks) 3–1,—,[9]
1953–54,—,—,Eastern,T-2nd,42,30,.583,2,Lost Division Finals (Nationals) 2–0,Bob Cousy (ASG MVP),[10]
1954–55,—,—,Eastern,3rd,36,36,.500,7,Won Division Semifinals (Knicks) 2–1Lost Division Finals (Nationals) 3–1,Bill Sharman (ASG MVP),[11]
1955–56,—,—,Eastern,2nd,39,33,.542,6,Lost Division Semifinals (Nationals) 2–1,—,[12]
1956–57,—,—,Eastern,1st,44,28,.611,—,Won Division Finals (Nationals) 3–0Won NBA Finals (Hawks) 4–3,"Bob Cousy (MVP, ASG MVP)Tom Heinsohn (ROY)",[13]
1957–58,—,—,Eastern,1st,49,23,.681,—,Won Division Finals (Warriors) 4–1Lost NBA Finals (Hawks) 4–2,Bill Russell (MVP),[14]
1958–59,—,—,Eastern,1st,52,20,.722,—,Won Division Finals (Nationals) 4–3Won NBA Finals (Lakers) 4–0,—,[15]
1959–60,—,—,Eastern,1st,59,16,.787,—,Won Division Finals (Warriors) 4–2Won NBA Finals (Hawks) 4–3,—,[16]
1960–61,—,—,Eastern,1st,57,22,.722,—,Won Division Finals (Nationals) 4–1Won NBA Finals (Hawks) 4–1,Bill Russell (MVP),[17]
1961–62,—,—,Eastern,1st,60,20,.750,—,Won Division Finals (Warriors) 4–3Won NBA Finals (Lakers) 4–3,Bill Russell (MVP),[18]
1962–63,—,—,Eastern,1st,58,22,.725,—,Won Division Finals (Royals) 4–3Won NBA Finals (Lakers) 4–2,"Bill Russell (MVP, ASG MVP)",[19]
1963–64,—,—,Eastern,1st,59,21,.738,—,Won Division Finals (Royals) 4–1Won NBA Finals (Warriors) 4–1,—,[20]
1964–65,—,—,Eastern,1st,62,18,.775,—,Won Division Finals (76ers) 4–3Won NBA Finals (Lakers) 4–1,Bill Russell (MVP)Red Auerbach (COY),[21]
1965–66,—,—,Eastern,2nd,54,26,.675,1,Won Division Semifinals (Royals) 3–2Won Division Finals (76ers) 4–1Won NBA Finals (Lakers) 4–3,—,[22]
1966–67,—,—,Eastern,2nd,60,21,.741,8,Won Division Semifinals (Knicks) 3–1Lost Division Finals (76ers) 4–1,—,[23]
1967–68,—,—,Eastern,2nd,54,28,.659,8,Won Division Semifinals (Pistons) 4–2Won Division Finals (76ers) 4–3Won NBA Finals (Lakers) 4–2,—,[24]
1968–69,—,—,Eastern,4th,48,34,.585,9,Won Division Semifinals (76ers) 4–1Won Division Finals (Knicks) 4–2Won NBA Finals (Lakers) 4–3,—,[25]
1969–70,—,—,Eastern,6th,34,48,.415,26,—,—,[26]
1970–71,Eastern,5th,Atlantic,3rd,44,38,.537,8,—,Dave Cowens (ROY),[27]
1971–72,Eastern,1st,Atlantic,1st,56,26,.683,—,Won Conference Semifinals (Hawks) 4–2Lost Conference Finals (Knicks) 4–1,—,[28]
1972–73,Eastern,1st,Atlantic,1st,68,14,.829,—,Won Conference Semifinals (Hawks) 4–2Lost Conference Finals (Knicks) 4–3,"Dave Cowens (MVP, ASG MVP)Tom Heinsohn (COY)",[29]
1973–74,Eastern,1st,Atlantic,1st,56,26,.683,—,Won Conference Semifinals (Braves) 4–2Won Conference Finals (Knicks) 4–1Won NBA Finals (Bucks) 4–3,John Havlicek (FMVP),[30]
1974–75,Eastern,1st,Atlantic,1st,60,22,.732,—,Won Conference Semifinals (Rockets) 4–1Lost Conference Finals (Bullets) 4–2,—,[31]
1975–76,Eastern,1st,Atlantic,1st,54,28,.659,—,Won Conference Semifinals (Braves) 4–2Won Conference Finals (Cavaliers) 4–2Won NBA Finals (Suns) 4–2,Jo Jo White (FMVP),[32]
1976–77,Eastern,4th,Atlantic,2nd,44,38,.537,6,Won First Round (Spurs) 2–0Lost Conference Semifinals (76ers) 4–3,—,[33]
1977–78,Eastern,8th,Atlantic,3rd,32,50,.390,23,—,—,[34]
1978–79,Eastern,10th,Atlantic,5th,29,53,.354,25,—,—,[35]
