Season,Team,League,Conference,Finish,Division,Finish,Wins,Losses,Win%,GB,Playoffs,Awards
1949–50,1949–50,NBA,—,—,Eastern,4th,26,42,.382,27,Lost Division Semifinals (Syracuse Nationals) 2–0[9],
1950–51,1950–51,NBA,—,—,Eastern,1st,40,26,.606,—,Lost Division Semifinals (Nationals) 2–0[10],
1951–52,1951–52,NBA,—,—,Eastern,4th,33,33,.500,7,Lost Division Semifinals (Nationals) 2–1[11],Paul Arizin (AMVP)
1952–53,1952–53,NBA,—,—,Eastern,5th,12,57,.174,34.5,,
1953–54,1953–54,NBA,—,—,Eastern,4th,29,43,.403,15,,
1954–55,1954–55,NBA,—,—,Eastern,4th,33,39,.458,10,,
1955–56,1955–56,NBA,—,—,Eastern,1st,45,27,.625,—,Won Division Finals (Nationals) 3–2Won NBA Finals (Pistons) 4–1[12],
1956–57,1956–57,NBA,—,—,Eastern,3rd,37,35,.514,7,Lost Division Semifinals (Nationals) 2–0[13],
1957–58,1957–58,NBA,—,—,Eastern,3rd,37,35,.514,12,Won Division Semifinals (Nationals) 2–1Lost Division Finals (Celtics) 4–1[14],Woody Sauldsberry (ROY)
1958–59,1958–59,NBA,—,—,Eastern,4th,32,40,.444,20,,
1959–60,1959–60,NBA,—,—,Eastern,2nd,49,26,.653,10,Won Division Semifinals (Nationals) 2–1Lost Division Finals (Celtics) 4–2[15],"Wilt Chamberlain (MVP, ROY, AMVP)"
1960–61,1960–61,NBA,—,—,Eastern,2nd,46,33,.582,11,Lost Division Semifinals (Nationals) 3–0[16],
1961–62,1961–62,NBA,—,—,Eastern,2nd,49,31,.613,11,Won Division Semifinals (Nationals) 3–2Lost Division Finals (Celtics) 4–3[17],
1962–63,1962–63,NBA,—,—,Western,4th,31,49,.388,22,,
1963–64,1963–64,NBA,—,—,Western,1st,48,32,.600,—,Won Division Finals (Hawks) 4–3Lost NBA Finals (Celtics) 4–1[18],Alex Hannum (COY)
1964–65,1964–65,NBA,—,—,Western,5th,17,63,.213,32,,
1965–66,1965–66,NBA,—,—,Western,4th,35,45,.438,10,,Rick Barry (ROY)
1966–67,1966–67,NBA,—,—,Western,1st,44,37,.543,—,Won Division Semifinals (Lakers) 3–0Won Division Finals (Hawks) 4–2Lost NBA Finals (76ers) 4–2[19],Rick Barry (AMVP)
1967–68,1967–68,NBA,—,—,Western,3rd,43,39,.524,13,Won Division Semifinals (Hawks) 4–2Lost Division Finals (Lakers) 4–0[20],
1968–69,1968–69,NBA,—,—,Western,3rd,41,41,.500,14,Lost Division Semifinals (Lakers) 4–2[21],
