Season,League,Conference,Finish,Division,Finish,Wins,Losses,Win%,GB,Playoffs,Awards,Ref.
1949–50,NBA,—,—,Central,1st[b],51,17,.750,—,Won Division Semifinals (Stags) 2–0Won Division Finals (Pistons) 2–0Won NBA Semifinals (Packers) 2–0Won NBA Finals (Nationals) 4–2[10],—,[11]
1950–51,NBA,—,—,Western,1st,44,24,.647,—,Won Division Semifinals (Olympians) 2–1Lost Division Finals (Royals) 3–1[12],—,[13]
1951–52,NBA,—,—,Western,2nd,40,26,.606,1,Won Division Semifinals (Olympians) 2–0Won Division Finals (Royals) 3–1Won NBA Finals (Knicks) 4–3[14],—,[15]
1952–53,NBA,—,—,Western,1st,48,22,.686,—,Won Division Semifinals (Olympians) 2–0Won Division Finals (Pistons) 3–2Won NBA Finals (Knicks) 4–1[16],George Mikan (ASG MVP),[17]
1953–54,NBA,—,—,Western,1st,46,26,.639,—,Won Division Finals (Royals) 2–1Won NBA Finals (Nationals) 4–3[18],—,[19]
1954–55,NBA,—,—,Western,2nd,40,32,.556,3,Won Division Semifinals (Royals) 2–1Lost Division Finals (Pistons) 3–1[20],—,[21]
1955–56,NBA,—,—,Western,2nd[c],33,39,.458,4,Lost Division Semifinals (Hawks) 2–1[23],—,[24]
1956–57,NBA,—,—,Western,2nd[d],34,38,.472,—,Won Division Semifinals (Pistons) 2–0Lost Division Finals (Hawks) 3–0[26],—,[27]
1957–58,NBA,—,—,Western,4th,19,53,.264,22,—,—,[28]
1958–59,NBA,—,—,Western,2nd,33,39,.458,16,Won Division Semifinals (Pistons) 2–1Won Division Finals (Hawks) 4–2Lost NBA Finals (Celtics) 4–0[29],"Elgin Baylor (ASG MVP, ROY)",[30]
1959–60,NBA,—,—,Western,3rd,25,50,.333,21,Won Division Semifinals (Pistons) 2–0Lost Division Finals (Hawks) 4–3[31],—,[32]
1960–61,NBA,—,—,Western,2nd,36,43,.456,15,Won Division Semifinals (Pistons) 3–2Lost Division Finals (Hawks) 4–3[33],—,[34]
1961–62,NBA,—,—,Western,1st,54,26,.675,—,Won Division Finals (Pistons) 4–2Lost NBA Finals (Celtics) 4–3[35],—,[36]
